run_dir,model,gpu,concurrency,input_len,output_len,tokens_per_s,avg_power_w,idle_power_w,e_bit_j_per_byte,e_bit_aggregate,p_static_w,r2_energy,waveform_mape_pct,waveform_rmse_w,n_bins
logs/load_sweep/Qwen2-7B-Instruct/gate_c1_in512_out128,Qwen/Qwen2-7B-Instruct,NVIDIA H200,1,512,128,165.56780965056123,368.5656323432343,117.191,1.0783772557573193e-10,1.0796129818090658e-10,117.191,0.8479558234847927,1.4104444109908172,9.064227158591349,229
logs/load_sweep/Qwen2-7B-Instruct/c2_in512_out128,Qwen/Qwen2-7B-Instruct,NVIDIA H200,2,512,128,325.34753217492306,369.80570505494507,117.191,1.1004813637325816e-10,1.1039175863317721e-10,117.191,0.5194746493737409,2.182186810215968,14.344690066838629,229
logs/load_sweep/Qwen2-7B-Instruct/c4_in512_out128,Qwen/Qwen2-7B-Instruct,NVIDIA H200,4,512,128,646.266012439098,371.9246465229949,117.191,1.1186138281328506e-10,1.1198290239868841e-10,117.191,-0.7660579410656556,1.9563472946622,8.850404725618821,226
logs/load_sweep/Qwen2-7B-Instruct/c8_in512_out128,Qwen/Qwen2-7B-Instruct,NVIDIA H200,8,512,128,1268.678561028416,375.3339209942299,117.191,1.1478633629447766e-10,1.1546462839277444e-10,117.191,-22.247103954944897,2.4868033360394133,19.96653658891205,226
logs/load_sweep/Qwen2-7B-Instruct/c16_in512_out128,Qwen/Qwen2-7B-Instruct,NVIDIA H200,16,512,128,2497.3965192872924,387.54796865273454,117.191,1.2229925315009413e-10,1.22521806540286e-10,117.191,0.23636346241620942,2.4742893258824354,11.97926434791897,226
logs/load_sweep/Qwen2-7B-Instruct/c32_in512_out128,Qwen/Qwen2-7B-Instruct,NVIDIA H200,32,512,128,4748.354644059861,406.40279376235446,117.191,1.3649632635457767e-10,1.3706471379898238e-10,117.191,-0.7063456035645379,3.5824035130286442,20.03940852355737,229
logs/load_sweep/Qwen2-7B-Instruct/c64_in512_out128,Qwen/Qwen2-7B-Instruct,NVIDIA H200,64,512,128,8121.988097756178,409.93607845303865,117.191,1.6026214087317244e-10,1.6122332011638495e-10,117.191,-12.693120003425395,4.605373454769326,23.199705194522856,227
logs/load_sweep/Qwen2-7B-Instruct/c1_in2048_out128,Qwen/Qwen2-7B-Instruct,NVIDIA H200,1,2048,128,165.67406469768167,372.0691862205591,117.191,1.0855005873210089e-10,1.087280093000473e-10,117.191,-9.856489994281922,1.519089702513361,10.523196626912188,228
logs/load_sweep/Qwen2-7B-Instruct/c2_in2048_out128,Qwen/Qwen2-7B-Instruct,NVIDIA H200,2,2048,128,322.600561430849,371.8953326679973,117.191,1.1107814272914066e-10,1.115526049943898e-10,117.191,0.374240957564286,2.3427668548214746,16.86067002586623,227
logs/load_sweep/Qwen2-7B-Instruct/c4_in2048_out128,Qwen/Qwen2-7B-Instruct,NVIDIA H200,4,2048,128,636.3315872849313,374.92652194252616,117.191,1.1382873993310711e-10,1.1437147028023761e-10,117.191,-0.01769849371884602,2.5035631315563984,18.036440579276945,226
logs/load_sweep/Qwen2-7B-Instruct/c8_in2048_out128,Qwen/Qwen2-7B-Instruct,NVIDIA H200,8,2048,128,1236.4061417179537,382.3889799471133,117.191,1.205958472075054e-10,1.2097436744136798e-10,117.191,-2.97873271798057,2.5115177702491644,15.026729359482015,228
logs/load_sweep/Qwen2-7B-Instruct/c16_in2048_out128,Qwen/Qwen2-7B-Instruct,NVIDIA H200,16,2048,128,2400.2335761645327,399.28257339551413,117.191,1.3154590967145392e-10,1.3221796141104646e-10,117.191,0.28353680256315605,3.395422824166772,20.45508177892405,227
logs/load_sweep/Qwen2-7B-Instruct/c32_in2048_out128,Qwen/Qwen2-7B-Instruct,NVIDIA H200,32,2048,128,4482.025831828195,431.51721787832196,117.191,1.5570840411477706e-10,1.5691321289262866e-10,117.191,-1.9105471462283798,4.525077092308293,27.696818563877606,229
logs/load_sweep/Qwen2-7B-Instruct/c64_in2048_out128,Qwen/Qwen2-7B-Instruct,NVIDIA H200,64,2048,128,7879.878802638337,417.4053920666228,117.191,1.6731513843162002e-10,1.6952762654984396e-10,117.191,-11.078828403542106,6.541412005084711,34.53467468709246,229
logs/load_sweep/gemma-7b/gate_c1_in512_out128,google/gemma-7b,NVIDIA H200,1,512,128,119.63718035417554,335.76855829694324,118.384,1.0546350402279708e-10,1.0559842877210897e-10,118.384,-3.3042105006351905,1.7490780087889095,8.463158461222504,230
logs/load_sweep/gemma-7b/c2_in512_out128,google/gemma-7b,NVIDIA H200,2,512,128,232.573608230075,340.62618264738603,118.384,1.101246846502447e-10,1.108318367472738e-10,118.384,-3.054795185676735,2.5605191795821987,17.75452842822849,226
logs/load_sweep/gemma-7b/c4_in512_out128,google/gemma-7b,NVIDIA H200,4,512,128,461.774879257386,351.04347682119203,118.384,1.160959991622139e-10,1.1632522085185053e-10,118.384,0.5940711936545469,2.223839132284259,10.646911127512158,228
logs/load_sweep/gemma-7b/c8_in512_out128,google/gemma-7b,NVIDIA H200,8,512,128,814.8546523224243,322.3294683825161,118.384,1.1396451637340844e-10,1.1454878828881782e-10,118.384,0.3317718541218265,2.746165734575495,14.676952498957002,227
logs/load_sweep/gemma-7b/c16_in512_out128,google/gemma-7b,NVIDIA H200,16,512,128,1587.0937803197796,336.9951304734385,118.384,1.2341431487445216e-10,1.238246954982614e-10,118.384,-3.173467158102926,2.8347441773800215,13.442992438409712,226
logs/load_sweep/gemma-7b/c32_in512_out128,google/gemma-7b,NVIDIA H200,32,512,128,3081.0389149908983,369.2544132743363,118.384,1.4063520607292254e-10,1.4141383593483476e-10,118.384,-16.3732127334463,3.966615490329033,25.558630418419614,226
logs/load_sweep/gemma-7b/c64_in512_out128,google/gemma-7b,NVIDIA H200,64,512,128,5456.303306035765,432.0511858348135,118.384,1.8463328554125322e-10,1.869130737639642e-10,118.384,-1.337705694882989,5.981235054163247,36.35212763304871,226
logs/load_sweep/gemma-7b/c1_in2048_out128,google/gemma-7b,NVIDIA H200,1,2048,128,118.1280461453271,353.80843222393656,118.384,1.1123597504719805e-10,1.1133215910183422e-10,118.384,0.5698353965051443,1.704041752787108,7.484938461756825,228
